src_ip,dst_ip,src_port,dst_port,first_pkt_time,last_pkt_time,avg_hops,avg_packet_len,nodeRelatedMessages:HeartbeatRequest,nodeRelatedMessages:HeartbeatResponse,nodeRelatedMessages:PFDManagementRequest,nodeRelatedMessages:PFDManagementResponse,nodeRelatedMessages:AssociationSetupRequest,nodeRelatedMessages:AssociationSetupResponse,nodeRelatedMessages:AssociationUpdateRequest,nodeRelatedMessages:AssociationUpdateResponset,nodeRelatedMessages:AssociationReleaseRequest,nodeRelatedMessages:AssociationReleaseResponse,nodeRelatedMessages:VersionNotSupportedResponse,nodeRelatedMessages:NodeReportRequest,nodeRelatedMessages:NodeReportResponse,nodeRelatedMessages:SessionSetDeletionRequest,nodeRelatedMessages:SessionSetDeletionResponse,sessionRelatedMessages:SessionEstablishmentRequest,sessionRelatedMessages:SessionEstablishmentResponse,sessionRelatedMessages:SessionModificationRequest,sessionRelatedMessages:SessionModificationResponse,sessionRelatedMessages:SessionDeletionRequest,sessionRelatedMessages:SessionDeletionResponse,sessionRelatedMessages:SessionReportRequest,sessionRelatedMessages:SessionReportResponse,class
6003::1000,2000::100:501,14601,8805,1603073948.830820,1603074366.440024,190,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,104,612,612,55,55,4,0,0
6003::1000,2000::100:501,14604,8805,1603073948.904466,1603074363.921066,190,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,124,667,667,83,83,4,0,0
2000::100:501,6003::1000,8805,8805,1603073949.184976,1603074412.680997,192,87,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,240,0
6003::1000,2000::100:501,14602,8805,1603073949.312697,1603074365.436734,190,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,465,465,60,60,3,0,0
6003::1000,2000::100:501,14603,8805,1603073949.899576,1603074364.454184,190,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,118,609,609,77,77,3,0,0
6003::1000,2000::100:501,14605,8805,1603074339.400155,1603074363.051881,190,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,25,25,3,3,1,0,0
6003::1000,2000::100:502,8805,8805,1603073960.887834,1603074410.884626,190,78,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
